date (year-month-day),species,trial start hour,trial start min,subject,donor,mouthlickinng start (hours),mouthlicking start (minutes),mouthlicking start (seconds),duration(s)
12/29/10,Desmodus rotundus,6,37,mya,bella,6,51,4,210
12/29/10,Desmodus rotundus,6,37,mya,bella,6,55,5,104
12/29/10,Desmodus rotundus,6,37,mya,bella,6,57,45,147
12/29/10,Desmodus rotundus,6,37,mya,bella,7,0,35,34
12/29/10,Desmodus rotundus,6,37,mya,bella,7,3,45,47
12/29/10,Desmodus rotundus,6,37,mya,bella,7,5,15,58
12/29/10,Desmodus rotundus,6,37,mya,bella,7,8,15,95
12/29/10,Desmodus rotundus,6,37,mya,bella,7,10,14,10
12/29/10,Desmodus rotundus,6,37,mya,bella,7,10,49,67
12/29/10,Desmodus rotundus,6,37,mya,bella,7,13,52,113
12/29/10,Desmodus rotundus,6,37,mya,bella,7,16,0,53
12/29/10,Desmodus rotundus,6,37,mya,countess,7,18,31,31
12/29/10,Desmodus rotundus,6,37,mya,countess,7,20,2,12
12/29/10,Desmodus rotundus,6,37,mya,bella,7,22,53,38
12/29/10,Desmodus rotundus,6,37,mya,bella,7,24,3,116
12/29/10,Desmodus rotundus,6,37,mya,bella,7,26,11,33
12/29/10,Desmodus rotundus,6,37,mya,bella,7,29,56,19
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,30,22,49
12/29/10,Desmodus rotundus,6,37,mya,bella,7,31,11,5
12/29/10,Desmodus rotundus,6,37,mya,bella,7,31,22,4
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,31,27,194
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,34,47,181
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,38,44,619
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,49,50,155
12/29/10,Desmodus rotundus,6,37,mya,streblick,7,53,14,152
12/29/10,Desmodus rotundus,6,37,mya,streblick,8,3,52,131
12/29/10,Desmodus rotundus,6,37,mya,streblick,8,10,23,33
12/29/10,Desmodus rotundus,6,37,mya,bella,6,43,2,6
12/29/10,Desmodus rotundus,6,37,mya,bella,6,41,52,63
12/29/10,Desmodus rotundus,6,37,mya,bella,6,41,11,30
12/29/10,Desmodus rotundus,6,37,mya,bella,6,43,17,43
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,51,40,46
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,53,47,89
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,55,27,156
12/30/10,Desmodus rotundus,6,40,thecount,countess,7,5,7,23
12/30/10,Desmodus rotundus,6,40,thecount,veronica,8,12,51,19
12/30/10,Desmodus rotundus,6,40,thecount,veronica,8,14,5,130
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,48,26,40
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,46,38,43
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,46,3,16
12/30/10,Desmodus rotundus,6,40,thecount,countess,6,49,18,102
12/31/10,Desmodus rotundus,7,4,bella,mya,7,14,51,39
12/31/10,Desmodus rotundus,7,4,bella,mya,8,40,58,140
12/31/10,Desmodus rotundus,7,4,bella,mya,8,43,31,31
12/31/10,Desmodus rotundus,7,4,bella,mya,8,44,21,138
12/31/10,Desmodus rotundus,7,4,bella,mya,7,10,41,45
12/31/10,Desmodus rotundus,7,4,bella,mya,7,6,56,210
12/31/10,Desmodus rotundus,7,4,bella,mya,7,6,20,24
12/31/10,Desmodus rotundus,7,4,bella,mya,7,11,30,43
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,49,29,5
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,50,42,38
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,51,53,19
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,52,26,70
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,57,48,20
1/1/11,Desmodus rotundus,6,40,vampirella,countess,7,8,53,271
1/1/11,Desmodus rotundus,6,40,vampirella,gelfing,7,19,20,309
1/1/11,Desmodus rotundus,6,40,vampirella,gelfing,7,25,16,26
1/1/11,Desmodus rotundus,6,40,vampirella,mya,8,15,13,51
1/1/11,Desmodus rotundus,6,40,vampirella,mya,8,18,28,297
1/1/11,Desmodus rotundus,6,40,vampirella,mya,8,24,5,179
1/1/11,Desmodus rotundus,6,40,vampirella,mya,8,27,23,92
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,46,28,70
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,43,48,143
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,43,36,7
1/1/11,Desmodus rotundus,6,40,vampirella,bella,6,47,46,56
8/7/11,Desmodus rotundus,7,12,vampirella,maribelo,7,30,38,22
8/7/11,Desmodus rotundus,7,12,vampirella,bella,7,38,49,54
8/7/11,Desmodus rotundus,7,12,vampirella,mya,7,39,59,164
8/7/11,Desmodus rotundus,7,12,vampirella,lucy,8,0,11,74
8/7/11,Desmodus rotundus,7,12,vampirella,lucy,8,4,11,103
8/7/11,Desmodus rotundus,7,12,vampirella,lucy,8,9,8,14
